config_name,dataset_name,model,roc_auc_score,lagged,filename,target
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9981544517578708,True,data_3.csv,A
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.931011585840546,True,data_2.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9972435897435896,True,data_2.csv,B
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8084402461114688,True,data_2.csv,C
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9788112265003824,True,data_2.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9685920370130896,True,data_2.csv,D
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.94816382538976,True,data_2.csv,A
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8933910582433133,True,data_7.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9582393502097676,True,data_7.csv,B
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9456581716456216,True,data_7.csv,F
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9627485958775244,True,data_7.csv,C
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9370176686329472,True,data_7.csv,H
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8924731182795699,True,TestCLIM_N-5_T-250_0049.txt,4
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8134796238244514,True,TestCLIM_N-5_T-250_0129.txt,4
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.7585271317829457,True,TestCLIM_N-5_T-250_0106.txt,0
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.7491496598639455,True,TestCLIM_N-5_T-250_0106.txt,1
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8036786786786787,True,TestCLIM_N-5_T-250_0067.txt,0
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8509908536585366,True,TestCLIM_N-5_T-250_0034.txt,0
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8826086956521739,True,TestCLIM_N-5_T-250_0034.txt,2
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.893048128342246,True,TestCLIM_N-5_T-250_0034.txt,4
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8003003003003003,True,TestCLIM_N-5_T-250_0072.txt,3
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.9622926093514328,True,TestCLIM_N-5_T-250_0072.txt,4
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.7571644042232278,True,TestCLIM_N-5_T-250_0085.txt,0
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.6120300751879699,True,TestCLIM_N-5_T-250_0126.txt,2
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.7472570532915361,True,TestCLIM_N-5_T-250_0064.txt,4
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.7360482654600302,True,TestCLIM_N-5_T-250_0089.txt,2
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.9443478260869566,True,TestCLIM_N-5_T-250_0093.txt,0
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.7897897897897899,True,TestCLIM_N-5_T-250_0093.txt,1
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8803353658536585,True,TestCLIM_N-5_T-250_0093.txt,3
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8469721767594108,True,TestCLIM_N-5_T-250_0168.txt,0
xcm_clim_2,TestCLIM_N-5_T-250/returns,XCM_pytorch,0.8777777777777778,True,TestCLIM_N-5_T-250_0168.txt,3
