config_name,dataset_name,filename,target,model,explanation,roc_auc_score
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,3,transformer,DM,0.7315233785822021
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,4,transformer,IG,0.6637931034482759
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,4,transformer,GS,0.6637931034482759
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,4,transformer,FA,0.6637931034482759
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,4,transformer,FP,0.6637931034482759
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,4,transformer,OS,0.6637931034482759
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,4,transformer,DM,0.6637931034482759
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,0,transformer,IG,0.9162895927601812
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,0,transformer,GS,0.9162895927601812
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,0,transformer,FA,0.9162895927601812
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,0,transformer,FP,0.9162895927601812
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,0,transformer,OS,0.9162895927601812
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,0,transformer,DM,0.9162895927601812
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,2,transformer,IG,0.8589939024390244
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,2,transformer,GS,0.8589939024390244
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,2,transformer,FA,0.8589939024390244
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,2,transformer,FP,0.8589939024390244
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,2,transformer,OS,0.8589939024390244
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,2,transformer,DM,0.8589939024390244
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,4,transformer,IG,0.576923076923077
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,4,transformer,GS,0.576923076923077
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,4,transformer,FA,0.576923076923077
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,4,transformer,FP,0.576923076923077
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,4,transformer,OS,0.576923076923077
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0068.txt,4,transformer,DM,0.576923076923077
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0102.txt,2,transformer,IG,0.7424242424242424
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0102.txt,2,transformer,GS,0.7424242424242424
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0102.txt,2,transformer,FA,0.7424242424242424
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0102.txt,2,transformer,FP,0.7424242424242424
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0102.txt,2,transformer,OS,0.7424242424242424
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0102.txt,2,transformer,DM,0.7424242424242424
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,1,transformer,IG,0.6371212121212121
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,1,transformer,GS,0.6371212121212121
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,1,transformer,FA,0.6371212121212121
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,1,transformer,FP,0.6371212121212121
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,1,transformer,OS,0.6371212121212121
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,1,transformer,DM,0.6371212121212121
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,2,transformer,IG,0.788265306122449
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,2,transformer,GS,0.788265306122449
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,2,transformer,FA,0.788265306122449
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,2,transformer,FP,0.788265306122449
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,2,transformer,OS,0.788265306122449
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0050.txt,2,transformer,DM,0.788265306122449
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0140.txt,1,transformer,IG,0.8293233082706767
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0140.txt,1,transformer,GS,0.8293233082706767
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0140.txt,1,transformer,FA,0.8293233082706767
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0140.txt,1,transformer,FP,0.8293233082706767
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0140.txt,1,transformer,OS,0.8293233082706767
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0140.txt,1,transformer,DM,0.8293233082706767
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0062.txt,3,transformer,IG,0.6304675716440422
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0062.txt,3,transformer,GS,0.6304675716440422
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0062.txt,3,transformer,FA,0.6304675716440422
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0062.txt,3,transformer,FP,0.6304675716440422
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0062.txt,3,transformer,OS,0.6304675716440422
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0062.txt,3,transformer,DM,0.6304675716440422
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0045.txt,4,transformer,IG,0.8129713423831071
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0045.txt,4,transformer,GS,0.8129713423831071
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0045.txt,4,transformer,FA,0.8129713423831071
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0045.txt,4,transformer,FP,0.8129713423831071
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0045.txt,4,transformer,OS,0.8129713423831071
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0045.txt,4,transformer,DM,0.8129713423831071
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,1,transformer,IG,0.8090909090909091
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,1,transformer,GS,0.8090909090909091
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,1,transformer,FA,0.8090909090909091
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,1,transformer,FP,0.8090909090909091
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,1,transformer,OS,0.8090909090909091
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,1,transformer,DM,0.8090909090909091
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,4,transformer,IG,0.8946969696969698
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,4,transformer,GS,0.8946969696969698
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,4,transformer,FA,0.8946969696969698
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0189.txt,4,transformer,FP,0.8946969696969698
