num_nonlagged_parents,num_lagged_parents,num_nonlagged_ancestors,num_lagged_ancestors,num_nonlagged_connected,num_lagged_connected,avg_nonlagged_parents,avg_lagged_parents,avg_nonlagged_ancestors,avg_lagged_ancestors,avg_nonlagged_connected,avg_lagged_connected,target,filename,dataset_name
3,6,2,24,5,45,3.2,6.4,2.4,27.0,5.0,45.0,4,TestCLIM_N-5_T-250_0050.txt,TestCLIM_N-5_T-250/returns
2,4,2,10,4,35,1.4,2.8,0.8,10.0,3.4,29.8,0,TestCLIM_N-5_T-250_0045.txt,TestCLIM_N-5_T-250/returns
2,4,1,16,4,35,1.4,2.8,0.8,10.0,3.4,29.8,1,TestCLIM_N-5_T-250_0045.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,1,9,1.4,2.8,0.8,10.0,3.4,29.8,2,TestCLIM_N-5_T-250_0045.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,4,35,1.4,2.8,0.8,10.0,3.4,29.8,3,TestCLIM_N-5_T-250_0045.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,4,35,1.4,2.8,0.8,10.0,3.4,29.8,4,TestCLIM_N-5_T-250_0045.txt,TestCLIM_N-5_T-250/returns
3,6,2,24,5,44,2.0,4.0,1.4,14.8,5.0,44.0,0,TestCLIM_N-5_T-250_0099.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,5,44,2.0,4.0,1.4,14.8,5.0,44.0,1,TestCLIM_N-5_T-250_0099.txt,TestCLIM_N-5_T-250/returns
2,4,2,10,5,44,2.0,4.0,1.4,14.8,5.0,44.0,2,TestCLIM_N-5_T-250_0099.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,5,44,2.0,4.0,1.4,14.8,5.0,44.0,3,TestCLIM_N-5_T-250_0099.txt,TestCLIM_N-5_T-250/returns
3,6,2,24,5,44,2.0,4.0,1.4,14.8,5.0,44.0,4,TestCLIM_N-5_T-250_0099.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,5,42,1.6,3.2,1.2,12.8,5.0,42.0,0,TestCLIM_N-5_T-250_0134.txt,TestCLIM_N-5_T-250/returns
2,4,2,16,5,42,1.6,3.2,1.2,12.8,5.0,42.0,1,TestCLIM_N-5_T-250_0134.txt,TestCLIM_N-5_T-250/returns
2,4,2,16,5,42,1.6,3.2,1.2,12.8,5.0,42.0,2,TestCLIM_N-5_T-250_0134.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,5,42,1.6,3.2,1.2,12.8,5.0,42.0,3,TestCLIM_N-5_T-250_0134.txt,TestCLIM_N-5_T-250/returns
2,4,2,16,5,42,1.6,3.2,1.2,12.8,5.0,42.0,4,TestCLIM_N-5_T-250_0134.txt,TestCLIM_N-5_T-250/returns
0,0,0,0,1,1,0.8,1.6,0.6,6.4,3.4,26.6,0,TestCLIM_N-5_T-250_0107.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,4,33,0.8,1.6,0.6,6.4,3.4,26.6,1,TestCLIM_N-5_T-250_0107.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,4,33,0.8,1.6,0.6,6.4,3.4,26.6,2,TestCLIM_N-5_T-250_0107.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,4,33,0.8,1.6,0.6,6.4,3.4,26.6,3,TestCLIM_N-5_T-250_0107.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,4,33,0.8,1.6,0.6,6.4,3.4,26.6,4,TestCLIM_N-5_T-250_0107.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,2,17,0.6,1.2,0.4,3.6,1.8,10.4,0,TestCLIM_N-5_T-250_0127.txt,TestCLIM_N-5_T-250/returns
0,0,0,0,2,1,0.6,1.2,0.4,3.6,1.8,10.4,1,TestCLIM_N-5_T-250_0127.txt,TestCLIM_N-5_T-250/returns
0,0,0,0,1,1,0.6,1.2,0.4,3.6,1.8,10.4,2,TestCLIM_N-5_T-250_0127.txt,TestCLIM_N-5_T-250/returns
1,2,1,2,2,16,0.6,1.2,0.4,3.6,1.8,10.4,3,TestCLIM_N-5_T-250_0127.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,2,17,0.6,1.2,0.4,3.6,1.8,10.4,4,TestCLIM_N-5_T-250_0127.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,5,43,1.8,3.6,1.4,12.0,5.0,43.0,0,TestCLIM_N-5_T-250_0147.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,5,43,1.8,3.6,1.4,12.0,5.0,43.0,1,TestCLIM_N-5_T-250_0147.txt,TestCLIM_N-5_T-250/returns
3,6,2,24,5,43,1.8,3.6,1.4,12.0,5.0,43.0,2,TestCLIM_N-5_T-250_0147.txt,TestCLIM_N-5_T-250/returns
2,4,2,10,5,43,1.8,3.6,1.4,12.0,5.0,43.0,3,TestCLIM_N-5_T-250_0147.txt,TestCLIM_N-5_T-250/returns
